marketDailySnapshots_id,marketDailySnapshots_timestamp,marketDailySnapshots_variableBorrowedTokenBalance,marketDailySnapshots_stableBorrowedTokenBalance,marketDailySnapshots_inputTokenPriceUSD,marketDailySnapshots_days,protocol,asset
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8b84b0000,1674863675,717513937133672865417,0,1592.84208522,19384,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8b94b0000,1674950231,1509410674902345501942,0,1570.51,19385,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8ba4b0000,1675036607,3141704172401535297888,0,1647.4995,19386,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8bb4b0000,1675121399,4624142249588006591308,0,1559.96756462,19387,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8bc4b0000,1675208687,5236847646602283418934,0,1585.19792,19388,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8bd4b0000,1675295483,4775440333721561551446,0,1646.44104,19389,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8be4b0000,1675381751,6504209472508814898477,0,1649.14518,19390,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8bf4b0000,1675468199,6891027473403627584896,0,1666.37,19391,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8c04b0000,1675554575,14740526707110929171046,0,1669.08374006,19392,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8c14b0000,1675639907,15883976804475422686675,0,1636.2833,19393,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8c24b0000,1675727315,20276308586091915052711,0,1615.6366358,19394,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8c34b0000,1675814135,19318147808303689945544,0,1675.98896,19395,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8c44b0000,1675896311,23774381821914641507515,0,1654.4,19396,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8c54b0000,1675986683,26691311189113584413129,0,1542.1981,19397,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8c64b0000,1676072915,26899131509703590176507,0,1512.49773281,19398,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8c74b0000,1676159267,27323651210634327941387,0,1537.5327,19399,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8c84b0000,1676246147,27641374263618260569188,0,1513.60536,19400,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8c94b0000,1676332343,28367887735431373504612,0,1502.84518,19401,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8ca4b0000,1676415947,28771371870657976558920,0,1553.16381,19402,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8cb4b0000,1676505059,28430723607303492263591,0,1670.08,19403,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8cc4b0000,1676591663,29820381466369748897538,0,1643.4445565,19404,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8cd4b0000,1676678183,31197383975336412163501,0,1695.025,19405,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8ce4b0000,1676763767,32852968829985651360212,0,1689.8,19406,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8cf4b0000,1676850995,35344000364804362507753,0,1681.0112,19407,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8d04b0000,1676937419,35389759207045990226410,0,1701.43840614,19408,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8d14b0000,1677023783,36358847767336282214187,0,1657.23,19409,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8d24b0000,1677109343,40326192365449473587972,0,1639.53,19410,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8d34b0000,1677196247,41547354649621819004874,0,1647.3546,19411,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8d44b0000,1677279575,39118898206329282440707,0,1603.6718,19412,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8d54b0000,1677369503,42053727343464734450049,0,1594.97029432,19413,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8d64b0000,1677455879,42876328131075852706228,0,1640.0287,19414,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8d74b0000,1677541187,50192416220162597206823,0,1633.795,19415,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8d84b0000,1677627779,50692544722083379045988,0,1611.01128294,19416,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8d94b0000,1677714923,51425049702600592208618,0,1663.8,19417,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8da4b0000,1677801587,51647455160276829342788,0,1647.8,19418,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8db4b0000,1677885791,51258679125889609709755,0,1566.1532,19419,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8dc4b0000,1677973943,51057455793151189233960,0,1562.36675,19420,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8dd4b0000,1678060247,51144168481990644904830,0,1562.77757428,19421,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8de4b0000,1678146347,56437096221934426615436,0,1568.81342258,19422,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8df4b0000,1678231355,57713174509867444658428,0,1550.53,19423,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8e04b0000,1678319963,58685494529655383325351,0,1532.76278,19424,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8e14b0000,1678405907,77925856639741202082092,0,1434.3,19425,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8e24b0000,1678492115,76879945779228404376868,0,1436.95748,19426,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8e34b0000,1678578971,75633525436976455820670,0,1485.27,19427,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8e44b0000,1678665551,80464192791298463924061,0,1586.69238,19428,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8e54b0000,1678751939,91925122749256801863364,0,1677.37875514,19429,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8e64b0000,1678837883,93482163784380480338304,0,1702.55,19430,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8e74b0000,1678923863,93803599971831592070429,0,1656.92,19431,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8e84b0000,1679010647,93986854754347131245789,0,1673.8634,19432,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8e94b0000,1679097107,93758535566899256645861,0,1788.8,19433,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8ea4b0000,1679182487,95341578500928540883700,0,1764.800549,19434,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8eb4b0000,1679270291,95297255631854021181755,0,1782.563321,19435,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8ec4b0000,1679354651,107487566034765744621691,0,1733.7712,19436,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8ed4b0000,1679442503,101443378416813555499177,0,1797.47796761,19437,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8ee4b0000,1679529455,102396545425051887726758,0,1739.28172,19438,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8ef4b0000,1679615447,103656503904227516303578,0,1821.655924,19439,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8f04b0000,1679700599,104108726896207453062051,0,1746.78,19440,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8f14b0000,1679787191,111450728408979307209267,0,1739.17,19441,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8f24b0000,1679875127,113540406098307432071800,0,1775.26274,19442,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8f34b0000,1679960939,113784401742072789523294,0,1710.4,19443,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8f44b0000,1680047495,112363467392429336953212,0,1769.6691,19444,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8f54b0000,1680134231,116613916122106715640790,0,1792.73998958,19445,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8f64b0000,1680220487,118249701824450497605571,0,1786.25695366,19446,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8f74b0000,1680307151,120075245251234176670539,0,1822.13,19447,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8f84b0000,1680393491,120328442862944009788802,0,1821.84391,19448,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8f94b0000,1680479903,121574208328544878165934,0,1795.81658755,19449,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8fa4b0000,1680566051,148592147666134652817677,0,1808.10795,19450,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8fb4b0000,1680652187,147439171677203426862207,0,1867.1,19451,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8fc4b0000,1680739031,153157720683824200246404,0,1909.52888,19452,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8fd4b0000,1680825047,153192247659934509682453,0,1870.55751,19453,aave_v3_ethereum,wETH
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8fe4b0000,1680910343,152795496846386083841256,0,1866.28245549,19454,aave_v3_ethereum,wETH
