,marketDailySnapshots_id,marketDailySnapshots_timestamp,marketDailySnapshots_variableBorrowedTokenBalance,marketDailySnapshots_stableBorrowedTokenBalance,marketDailySnapshots_inputTokenPriceUSD,marketDailySnapshots_days,protocol,asset
0,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71dbdf4b0000,1678192271,,,0.0,19423,spark_ethereum,wETH
1,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71dbf54b0000,1680086111,0.0,0.0,1814.77867841,19445,spark_ethereum,wETH
2,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71dbfb4b0000,1680616547,0.0,0.0,1862.84546235,19451,spark_ethereum,wETH
3,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db1d4c0000,1683555935,0.0,0.0,1859.70567379,19485,spark_ethereum,wETH
4,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db1e4c0000,1683659087,0.0,0.0,1841.27676,19486,spark_ethereum,wETH
5,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db1f4c0000,1683731987,7.80017102329153e+19,0.0,1871.5,19487,spark_ethereum,wETH
6,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db204c0000,1683773591,7.800458024473204e+19,0.0,1835.537493,19488,spark_ethereum,wETH
7,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db214c0000,1683856271,7.801011571245117e+19,0.0,1791.53960489,19489,spark_ethereum,wETH
8,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db244c0000,1684154099,7.802988786242996e+19,0.0,1826.49825443,19492,spark_ethereum,wETH
9,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db254c0000,1684242839,7.803575690537229e+19,0.0,1819.43134,19493,spark_ethereum,wETH
10,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db264c0000,1684325507,7.80411425715627e+19,0.0,1789.38816222,19494,spark_ethereum,wETH
11,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db284c0000,1684494371,8.273518638274275e+19,0.0,1806.93,19496,spark_ethereum,wETH
12,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db294c0000,1684587395,8.274197846353655e+19,0.0,1814.6648,19497,spark_ethereum,wETH
13,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db2c4c0000,1684855991,7.807736501092732e+19,0.0,1853.54,19500,spark_ethereum,wETH
14,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db304c0000,1685184083,7.809933806165978e+19,0.0,1829.2,19504,spark_ethereum,wETH
15,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db324c0000,1685393891,7.811183207968714e+19,0.0,1894.19,19506,spark_ethereum,wETH
16,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db344c0000,1685506907,7.811838918377962e+19,0.0,1897.81400802,19508,spark_ethereum,wETH
17,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db364c0000,1685690699,7.81289353734129e+19,0.0,1890.35587288,19510,spark_ethereum,wETH
18,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db3d4c0000,1686302243,7.816403157092522e+19,0.0,1841.996088,19517,spark_ethereum,wETH
19,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db3e4c0000,1686374867,7.816820049305351e+19,0.0,1771.32409,19518,spark_ethereum,wETH
20,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db484c0000,1687272023,2.282194061109339e+20,0.0,1719.57,19528,spark_ethereum,wETH
21,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db494c0000,1687350059,1.58041362952739e+20,0.0,1827.99,19529,spark_ethereum,wETH
22,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db4a4c0000,1687420451,1.5003006300056905e+20,0.0,1909.58810564,19530,spark_ethereum,wETH
23,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db4f4c0000,1687902671,1.5011033161153983e+20,0.0,1891.1757,19535,spark_ethereum,wETH
24,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db514c0000,1687998599,1.5012630345878156e+20,0.0,1828.2,19537,spark_ethereum,wETH
25,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db524c0000,1688108915,1.1501436970588773e+21,0.0,1875.00922501,19538,spark_ethereum,wETH
26,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db534c0000,1688183399,1.150223974847266e+21,0.0,1921.612,19539,spark_ethereum,wETH
27,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db544c0000,1688291315,1.1503405309538164e+21,0.0,1913.80830306,19540,spark_ethereum,wETH
28,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db554c0000,1688415947,1.150475041180976e+21,0.0,1959.9102016,19541,spark_ethereum,wETH
29,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db564c0000,1688464631,1.1516273804103805e+21,0.0,1954.36,19542,spark_ethereum,wETH
30,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db574c0000,1688573975,1.5017451279630192e+21,0.0,1902.49,19543,spark_ethereum,wETH
31,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db594c0000,1688749727,1.5020415168392098e+21,0.0,1872.25752588,19545,spark_ethereum,wETH
32,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db5a4c0000,1688804399,1.502133722652231e+21,0.0,1861.99655921,19546,spark_ethereum,wETH
33,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db5b4c0000,1688905979,1.5023051130784766e+21,0.0,1869.04,19547,spark_ethereum,wETH
34,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db5c4c0000,1688965103,1.5024048980259279e+21,0.0,1862.16266109,19548,spark_ethereum,wETH
35,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db5e4c0000,1689156023,1.5026921901200575e+21,0.0,1889.7068,19550,spark_ethereum,wETH
36,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db5f4c0000,1689240875,1.502819911074586e+21,0.0,1873.56210456,19551,spark_ethereum,wETH
37,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db614c0000,1689400799,1.5030607740631895e+21,0.0,1928.72,19553,spark_ethereum,wETH
38,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db624c0000,1689547499,1.5030607740631895e+21,0.0,1928.72,19554,spark_ethereum,wETH
39,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db644c0000,1689661823,1.5034540045883083e+21,0.0,1904.69,19556,spark_ethereum,wETH
40,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db664c0000,1689893819,1.0042613066373948e+21,0.0,1894.0617,19558,spark_ethereum,wETH
41,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db674c0000,1689983975,1.0052007663323485e+21,0.0,1892.15,19559,spark_ethereum,wETH
42,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db684c0000,1690065827,1.0058234243290078e+21,0.0,1886.77,19560,spark_ethereum,wETH
43,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db694c0000,1690148759,1.0167050422416365e+21,0.0,1879.1775,19561,spark_ethereum,wETH
44,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db6b4c0000,1690286771,1.0168176437298368e+21,0.0,1852.64881897,19563,spark_ethereum,wETH
45,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db6c4c0000,1690365071,1.0185315465136243e+21,0.0,1854.56,19564,spark_ethereum,wETH
46,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db6d4c0000,1690462535,1.0186115208150863e+21,0.0,1876.84,19565,spark_ethereum,wETH
47,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db6e4c0000,1690543475,1.0186779370114942e+21,0.0,1867.10140733,19566,spark_ethereum,wETH
48,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db6f4c0000,1690598147,1.0187228010161804e+21,0.0,1876.39636,19567,spark_ethereum,wETH
49,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db704c0000,1690726343,1.0188284065274532e+21,0.0,1872.91852,19568,spark_ethereum,wETH
50,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db724c0000,1690879631,1.0189596783679751e+21,0.0,1833.78337551,19570,spark_ethereum,wETH
51,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db734c0000,1690999115,1.0800541179305186e+21,0.0,1830.51653377,19571,spark_ethereum,wETH
52,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db744c0000,1691088455,1.0831311181724037e+21,0.0,1846.272851,19572,spark_ethereum,wETH
53,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db754c0000,1691186375,1.1606403199333146e+21,0.0,1828.36,19573,spark_ethereum,wETH
54,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db764c0000,1691221043,1.1106738678052339e+21,0.0,1829.93,19574,spark_ethereum,wETH
55,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db774c0000,1691342087,1.1357829710485809e+21,0.0,1833.1422908,19575,spark_ethereum,wETH
56,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db784c0000,1691452139,2.7300576828177766e+21,0.0,1825.27,19576,spark_ethereum,wETH
57,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db794c0000,1691527691,2.7302667634175435e+21,0.0,1859.60578,19577,spark_ethereum,wETH
58,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db7a4c0000,1691616779,3.1326565062566027e+21,0.0,1851.88545028,19578,spark_ethereum,wETH
59,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db7b4c0000,1691711039,3.9422282029870036e+21,0.0,1850.301601,19579,spark_ethereum,wETH
60,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db7c4c0000,1691796827,4.433538115692805e+21,0.0,1845.4751,19580,spark_ethereum,wETH
61,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db7d4c0000,1691883515,4.437948523442386e+21,0.0,1848.88214,19581,spark_ethereum,wETH
62,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db7e4c0000,1691959343,4.44030951455655e+21,0.0,1858.25530282,19582,spark_ethereum,wETH
63,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db7f4c0000,1692027455,4.46862829031353e+21,0.0,1852.18,19583,spark_ethereum,wETH
64,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db804c0000,1692134759,4.469132620609662e+21,0.0,1827.98,19584,spark_ethereum,wETH
65,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db814c0000,1692220403,4.4695361567681974e+21,0.0,1807.2966,19585,spark_ethereum,wETH
66,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db824c0000,1692311159,4.945573109955203e+21,0.0,1639.66,19586,spark_ethereum,wETH
67,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db834c0000,1692401987,4.925918699309424e+21,0.0,1663.31740442,19587,spark_ethereum,wETH
68,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db844c0000,1692487163,4.922190743848329e+21,0.0,1664.7307,19588,spark_ethereum,wETH
69,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db854c0000,1692570731,1.7117831476141868e+21,0.0,1683.0831095,19589,spark_ethereum,wETH
70,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db864c0000,1692657635,3.3044819585950994e+21,0.0,1672.66,19590,spark_ethereum,wETH
71,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db874c0000,1692748079,6.434862356010322e+21,0.0,1629.14,19591,spark_ethereum,wETH
72,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db884c0000,1692833087,7.247952296760797e+21,0.0,1675.14,19592,spark_ethereum,wETH
73,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db894c0000,1692921371,8.748665805028918e+21,0.0,1659.2248141,19593,spark_ethereum,wETH
74,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db8a4c0000,1693007387,8.799317394342072e+21,0.0,1652.8618,19594,spark_ethereum,wETH
75,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db8b4c0000,1693086083,9.199910566099181e+21,0.0,1646.8,19595,spark_ethereum,wETH
76,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db8c4c0000,1693176899,1.0661870007977815e+22,0.0,1652.54,19596,spark_ethereum,wETH
77,0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db8d4c0000,1693233527,8.20095586612046e+21,0.0,1649.37,19597,spark_ethereum,wETH
